age,gender,category,difficulty,noofquestions,correctcount,incorrectcount,noofattemptinquestionsinsublevel1,noofattemptinquestionsinsublevel2,noofattemptinquestionsinsublevel3,noofattemptinquestionsinsublevel4,noofcorrectquestionsinsublevel1,noofcorrectquestionsinsublevel2,noofcorrectquestionsinsublevel3,noofcorrectquestionsinsublevel4,avrgresponsetimeforsublevel1questions,avrgresponsetimeforsublevel2questions,avrgresponsetimeforsublevel3questions,avrgresponsetimeforsublevel4questions,quizmark,quizcompletationtime,readiness
6,male,addition,beginner,15,2,13,2,0,0,0,2,0,0,0,2.883314256,0,0,0,2,23.12032748,0
11,male,multipication,intermediate,15,1,14,2,0,3,3,2,0,1,0,41.31210547,0,59.68668612,39.56302842,8,7.925606333,0
15,female,substraction,beginner,15,3,12,1,4,4,1,1,3,3,1,3.691014463,10.76612099,16.04392781,39.99346067,1,2.986979321,0
6,female,substraction,intermediate,15,6,9,1,1,4,2,0,0,4,0,1.896068177,3.603694536,24.62357998,29.73669674,7,21.33688948,0
8,female,substraction,intermediate,15,6,9,0,1,1,1,0,1,1,0,0,12.47098529,1.119791191,6.072526564,7,9.101577982,0
10,female,division,beginner,15,7,8,3,2,0,4,2,1,0,4,14.55227419,12.38550506,0,41.75350407,8,20.37022397,0
9,female,multipication,advanced,15,15,0,1,0,3,2,0,0,0,1,17.39328554,0,50.17203078,67.56747025,9,18.17747594,0
15,female,division,intermediate,15,7,8,2,3,1,2,1,3,0,2,5.747914495,17.16730884,39.03079398,25.46229285,8,8.406781514,0
4,male,division,advanced,15,1,14,5,1,3,5,2,0,0,3,49.18957419,90.23134315,39.68974446,102.0522055,5,35.27555889,0
15,male,substraction,intermediate,15,10,5,5,1,1,5,1,1,1,5,10.2081318,7.087245373,21.35530465,14.00054806,2,18.09384193,0
8,male,division,intermediate,15,2,13,5,3,2,1,4,0,0,1,34.09651521,33.58033946,65.01692974,62.94232374,1,25.64760438,0
9,female,multipication,intermediate,15,6,9,5,3,3,1,5,0,2,0,49.67183004,45.65173883,21.74019603,8.707786487,0,20.39528999,0
7,male,substraction,beginner,15,2,13,0,4,2,2,0,3,0,2,0,3.907371771,15.57077894,13.47025199,4,27.31831883,0
11,female,division,beginner,15,5,10,3,1,3,3,2,0,3,3,18.97014342,7.796739225,34.68796921,34.62746897,7,18.05478062,0
5,male,multipication,advanced,15,0,15,2,1,4,0,0,0,2,0,58.18599375,64.68290114,54.11600418,0,4,16.61465845,0
4,male,division,beginner,15,12,3,1,2,1,5,1,1,1,5,7.940754132,29.00650832,15.06820037,22.32302868,5,12.04051786,0
14,male,multipication,intermediate,15,10,5,4,2,3,0,1,0,0,0,21.54785223,7.145146703,47.22992265,0,3,24.18355868,0
4,male,addition,advanced,15,9,6,0,2,1,5,0,2,0,1,0,38.54366065,15.37423338,22.07201254,4,17.65102347,0
12,male,addition,intermediate,15,0,15,3,1,3,1,2,0,3,1,9.903532959,19.50112686,6.936189522,22.05440452,6,7.23180131,0
4,female,substraction,beginner,15,8,7,0,4,0,2,0,0,0,1,0,5.602008369,0,19.4835251,8,0.462180735,0
6,male,substraction,intermediate,15,1,14,1,1,3,2,1,1,3,2,5.775118091,17.86302258,23.84747541,42.18169603,3,13.45708086,0
15,female,substraction,beginner,15,14,1,1,1,1,0,0,0,0,0,2.305082016,13.02170749,29.16899989,0,7,10.17299431,0
10,male,multipication,intermediate,15,9,6,3,5,1,3,1,4,1,1,27.87067549,52.40723628,39.96506389,38.03690828,0,7.922786644,0
8,female,substraction,intermediate,15,4,11,5,0,3,3,4,0,0,1,7.761328243,0,23.4017969,29.93741939,3,15.092637,0
7,female,multipication,advanced,15,4,11,1,3,0,5,0,2,0,1,59.2076854,56.63395341,0,39.78444806,8,5.770197799,0
11,female,substraction,advanced,15,10,5,5,3,4,0,4,2,4,0,19.68163686,35.03069086,37.34340803,0,6,5.362598797,0
3,male,division,intermediate,15,4,11,2,0,3,4,2,0,2,2,19.54640543,0,50.09879486,39.99689761,5,29.36604588,0
5,male,division,advanced,15,10,5,1,0,1,0,0,0,0,0,117.4032892,0,1.294344485,0,4,19.08458114,0
4,female,multipication,intermediate,15,8,7,5,1,0,5,2,0,0,5,22.2725582,26.97755987,0,44.40944662,1,29.33720814,0
14,female,addition,intermediate,15,13,2,0,1,1,0,0,0,1,0,0,9.985631251,20.13692531,0,5,17.86268409,0
11,female,substraction,beginner,15,6,9,4,5,4,1,4,5,4,0,2.656426158,8.825254223,14.93752495,16.66908162,6,27.28629687,0
9,female,addition,intermediate,15,9,6,4,5,3,4,0,5,3,1,8.690464181,16.54167939,25.33160755,16.96096763,9,9.860025145,0
11,male,addition,intermediate,15,0,15,1,0,0,0,1,0,0,0,10.79882013,0,0,0,4,0.955001069,0
5,female,multipication,advanced,15,10,5,2,5,0,2,0,4,0,1,82.82603224,50.28973252,0,43.95006939,3,26.75861344,0
6,female,multipication,intermediate,15,9,6,1,1,1,4,0,0,0,3,39.61808999,40.14057878,61.96582376,51.68840926,2,27.56522095,0
14,female,division,advanced,15,4,11,2,4,5,5,0,0,1,2,113.0888968,70.42721071,52.46454275,77.31652115,1,12.64116358,0
13,female,substraction,intermediate,15,0,15,3,5,0,1,0,5,0,0,8.761109394,10.63206868,0,27.63863497,6,17.08609288,0
5,female,addition,advanced,15,8,7,4,0,2,5,1,0,1,3,10.28885505,0,38.56442427,23.37791477,6,16.04328065,0
3,female,multipication,intermediate,15,9,6,1,0,2,2,0,0,1,0,7.385346837,0,35.07936273,35.06712668,3,8.407673539,0
9,female,multipication,advanced,15,11,4,1,5,3,4,1,0,1,0,58.47812685,72.39955203,64.67008323,72.91587386,3,30.34130859,0
9,female,substraction,beginner,15,10,5,0,0,4,4,0,0,0,3,0,0,6.359262191,13.92464528,6,1.849505211,0
8,male,division,intermediate,15,1,14,2,2,1,5,0,0,0,1,42.84238062,40.18026941,38.54296373,39.5416429,0,4.42868336,0
9,female,substraction,beginner,15,8,7,5,5,4,0,0,5,3,0,1.926307114,9.873525467,8.660493202,0,7,26.95238647,0
15,male,substraction,advanced,15,1,14,2,4,4,4,0,3,4,4,24.22982653,39.8445962,26.59303395,44.22604489,5,18.83391627,0
7,female,addition,beginner,15,4,11,2,3,5,3,0,3,2,2,3.178976019,4.350773301,19.82709868,8.567228928,9,24.06676694,0
9,female,division,beginner,15,0,15,4,1,2,4,3,0,1,0,20.42015919,24.0683438,14.93467677,31.97323954,9,16.27555645,0
6,male,substraction,advanced,15,0,15,5,0,5,2,2,0,0,1,15.63012785,0,27.31999429,44.23141652,9,34.61121627,0
5,male,multipication,beginner,15,5,10,2,2,1,2,0,2,1,0,25.25544417,26.54688434,6.179952429,23.66938622,3,14.2084436,0
12,male,multipication,intermediate,15,6,9,3,5,4,2,1,2,1,1,37.73084242,32.58437696,61.32731217,11.24637609,8,7.128345116,0
13,female,addition,intermediate,15,11,4,1,2,1,5,0,0,1,2,6.730038511,13.86800867,15.90636562,24.95254811,9,22.41005045,0
6,female,substraction,advanced,15,4,11,1,5,4,4,1,2,0,0,3.84186524,21.21012952,27.6633392,46.4944835,5,24.43693125,0
3,female,multipication,intermediate,15,8,7,0,2,0,3,0,0,0,1,0,37.54696923,0,48.20257258,6,1.121660434,0
9,female,substraction,beginner,15,15,0,5,1,1,1,5,0,0,0,3.423377495,8.618024679,17.26967215,4.12799126,0,29.68066183,0
3,female,addition,intermediate,15,5,10,4,5,0,2,1,5,0,2,8.350419675,12.01238007,0,26.4358478,1,18.91578434,0
13,female,substraction,advanced,15,14,1,5,1,3,0,3,1,1,0,22.52993484,39.17480425,28.7551897,0,9,22.94840794,0
15,male,addition,intermediate,15,3,12,3,2,4,0,1,0,1,0,7.457160852,14.53882213,19.9554038,0,10,3.942978403,0
6,female,division,intermediate,15,11,4,4,1,3,2,1,1,1,2,36.99749731,18.02413518,44.55413744,67.73089189,8,5.981231809,0
14,female,division,advanced,15,6,9,1,4,3,4,0,4,0,4,70.09721634,96.49572575,80.95281285,71.28653501,4,36.22995205,0
15,male,multipication,beginner,15,3,12,3,3,1,0,2,0,0,0,11.09370322,21.88828583,45.056802,0,9,17.71567183,0
3,female,substraction,intermediate,15,8,7,5,0,4,1,3,0,0,0,9.773238786,0,13.9856332,12.27326619,4,17.21092794,0
7,male,division,advanced,15,7,8,5,4,0,3,3,1,0,2,25.5223847,52.90443056,0,121.155468,1,27.16647237,0
14,female,substraction,intermediate,15,12,3,4,3,4,1,0,3,4,1,10.77922172,15.50936999,19.83182232,30.0229555,4,19.12284833,0
8,female,multipication,intermediate,15,13,2,5,3,4,0,0,2,3,0,30.71652156,34.03239858,18.3034396,0,2,9.9776534,0
6,male,division,beginner,15,5,10,1,2,4,1,1,1,0,1,10.70822091,28.94785222,20.91248689,11.21167829,10,25.13434599,0
12,male,division,intermediate,15,7,8,0,1,0,4,0,0,0,2,0,7.09573271,0,30.49636107,10,0.400419248,0
5,female,addition,intermediate,15,3,12,5,4,1,4,4,1,0,1,7.879475462,10.89130921,33.2671139,33.56272787,9,27.54332919,0
15,female,multipication,intermediate,15,3,12,5,1,5,4,3,0,3,2,32.05623036,66.36675317,36.5228304,47.11273264,9,9.646511045,0
8,female,multipication,intermediate,15,11,4,3,0,5,5,1,0,4,5,31.71112644,0,40.59198464,44.96390948,2,12.85598378,0
15,male,multipication,beginner,15,8,7,4,4,5,0,3,1,4,0,15.27960106,20.04730384,23.59366902,0,6,6.662416153,0
14,female,division,beginner,15,11,4,0,5,2,3,0,2,0,3,0,15.52844184,29.567166,36.76673588,10,9.472315618,0
12,female,substraction,intermediate,15,13,2,5,5,2,1,3,3,0,0,4.003364272,13.49342951,20.36272333,35.23822093,1,21.94782592,0
10,female,multipication,intermediate,15,6,9,3,1,1,5,3,1,1,4,22.66284876,22.24832663,9.491639158,45.90989025,8,11.66502312,0
8,female,addition,advanced,15,2,13,1,0,2,2,1,0,1,0,29.79876377,0,10.9873209,54.84009658,3,30.36010913,0
10,female,addition,advanced,15,14,1,1,4,1,5,1,3,1,1,27.62599308,15.94073227,15.89522157,31.18643533,6,38.88292818,0
5,male,division,advanced,15,2,13,4,1,0,1,2,1,0,1,85.19041264,119.6529795,0,47.37308431,5,38.81463018,0
12,male,addition,beginner,15,5,10,3,1,5,5,0,0,4,3,2.503763301,11.02641488,16.46945834,23.47483457,4,16.44252344,0
15,female,division,beginner,15,5,10,0,4,2,1,0,2,1,1,0,19.53443434,25.05833815,25.12408328,6,6.246006963,0
11,male,substraction,intermediate,15,12,3,2,5,1,1,2,3,1,1,13.4561325,3.722710516,19.42581445,11.91778605,7,5.288045727,0
10,male,multipication,advanced,15,3,12,3,3,3,1,2,0,0,0,72.4781064,69.78033081,92.76405228,75.48251678,2,25.64876576,0
6,female,multipication,advanced,15,11,4,2,3,1,1,0,1,0,1,31.27876739,84.5216368,6.940480223,91.3799061,7,27.53973644,0
3,male,multipication,advanced,15,7,8,0,1,5,0,0,0,5,0,0,74.49914827,79.75038201,0,4,39.79386599,0
15,male,division,beginner,15,8,7,0,1,4,0,0,0,3,0,0,14.77983224,26.35187579,0,1,21.08973641,0
11,male,multipication,advanced,15,3,12,4,4,3,3,1,4,3,0,42.23167222,83.36560485,59.72833036,122.7886801,9,13.77080909,0
9,female,substraction,advanced,15,10,5,4,1,2,3,3,0,2,1,24.20321917,34.72850625,33.87216713,11.85830803,7,37.74678988,0
12,male,multipication,beginner,15,8,7,1,5,4,3,1,4,2,0,17.67509106,16.84353134,27.84373428,31.04030454,3,3.227905078,0
15,male,substraction,beginner,15,0,15,5,2,5,4,0,1,2,3,3.047063291,10.67434126,14.40507394,24.52194834,2,21.93243215,0
14,female,division,advanced,15,14,1,3,4,3,4,3,4,0,4,33.10626115,79.38053432,91.3874361,57.87889532,3,37.58679249,0
10,male,substraction,advanced,15,0,15,5,4,0,4,1,1,0,2,25.24149659,26.05783558,0,26.18948526,0,25.26361457,0
15,female,substraction,advanced,15,1,14,4,5,4,4,4,3,0,0,27.3564254,29.47036111,22.25690154,46.15688758,5,10.88907197,0
9,female,multipication,beginner,15,13,2,3,2,0,5,1,1,0,3,18.27063006,20.95077618,0,32.13443545,7,28.75570795,0
11,female,addition,beginner,15,8,7,2,0,2,3,1,0,1,1,4.033963417,0,9.676869038,15.50371894,8,12.08580816,0
13,female,multipication,beginner,15,11,4,4,5,2,3,3,5,2,0,18.09505139,9.992918754,23.62481693,44.96122888,0,3.728580109,0
4,female,division,beginner,15,13,2,3,4,1,1,3,4,1,1,16.36657483,18.78943885,41.67541035,10.67443931,7,21.34367142,0
3,female,division,intermediate,15,2,13,3,3,3,5,0,3,1,2,28.66168566,25.74857889,18.59751134,41.70257538,7,5.495203135,0
3,male,addition,intermediate,15,15,0,3,4,1,0,1,2,1,0,5.521074844,14.13414892,31.84056807,0,6,9.609211802,0
13,female,multipication,advanced,15,3,12,5,3,1,3,2,1,1,0,57.75245606,59.92031552,137.1999643,51.99400411,2,12.74566231,0
15,female,substraction,beginner,15,15,0,3,3,5,2,0,0,0,0,3.192490177,7.811192714,18.45020301,14.59211376,6,21.92546393,0
5,male,multipication,intermediate,15,0,15,1,5,1,4,1,5,1,4,18.1092716,39.62879871,55.33128647,42.8380436,0,1.249945978,0
10,male,division,advanced,15,5,10,0,3,4,2,0,1,4,0,0,96.14223909,56.18252831,50.39345924,4,8.879881405,0
3,female,multipication,intermediate,15,5,10,5,3,2,3,1,1,1,0,37.47331897,32.36754923,24.36828546,60.97821596,1,1.015479555,0
6,male,substraction,beginner,15,10,5,0,5,0,2,0,2,0,1,0,9.156759118,0,11.75290875,4,28.87075051,0
12,male,division,advanced,15,7,8,2,1,1,0,1,1,0,0,93.53148526,49.73604581,97.9432538,0,8,37.89271958,0
15,male,addition,beginner,15,14,1,5,3,3,2,3,1,2,0,3.474845422,8.305980462,10.03701488,10.57019788,9,23.87118811,0
4,male,addition,intermediate,15,10,5,4,0,3,1,3,0,2,0,10.18987028,0,19.51038076,29.04956435,8,7.773237006,0
12,female,addition,intermediate,15,5,10,3,3,2,2,2,1,1,2,7.56841099,12.97428251,27.88770965,23.51828933,4,21.88645929,0
13,female,multipication,advanced,15,9,6,0,3,1,0,0,1,1,0,0,53.06706654,91.72015061,0,7,32.76423809,0
11,male,substraction,intermediate,15,8,7,2,1,1,2,2,1,1,1,8.67712924,22.94852269,21.12183766,13.80214814,4,5.11192875,0
3,male,multipication,intermediate,15,7,8,5,1,3,5,1,1,3,2,42.49866869,16.33413365,65.26424459,61.14776864,3,27.8054318,0
10,male,multipication,advanced,15,8,7,5,0,1,5,4,0,1,2,61.77399519,0,12.68523298,81.33350614,3,11.59520678,0
14,male,substraction,intermediate,15,12,3,5,3,4,5,3,3,2,0,8.595803542,9.997722652,11.49404234,21.07779963,6,16.9026314,0
10,male,substraction,advanced,15,6,9,3,2,3,3,0,1,0,1,15.83078372,22.53086514,40.9222622,36.87914526,6,15.91392288,0
6,male,addition,intermediate,15,11,4,2,4,2,0,2,2,0,0,2.166909171,12.6514774,19.96981652,0,1,28.45278086,0
12,female,multipication,advanced,15,9,6,0,1,2,3,0,1,1,1,0,70.27486617,123.4950359,85.55670408,1,16.82031778,0
6,male,substraction,beginner,15,13,2,2,4,4,5,0,3,1,0,2.308379528,10.95684064,21.35478032,19.29668259,7,3.647340758,0
5,male,multipication,intermediate,15,4,11,0,5,0,0,0,2,0,0,0,50.60049955,0,0,4,17.79916537,0
8,male,multipication,advanced,15,6,9,1,1,1,4,0,1,1,3,16.60083318,95.9240198,82.20007088,140.1420525,9,6.334878813,0
