quiz_time,quiz_score,piano_time,piano_key_count,drawing_time,drawing_similarity,gender,age,talent,quiz_efficiency,piano_efficiency,drawing_efficiency
277,3,329.149,53,418,59.0,M,8,Quiz,0.010830324909747292,0.1610213003837168,0.14114832535885166
962,4,350.877,430,890,75.1,F,7,Drawing,0.004158004158004158,1.2255006740253707,0.08438202247191011
794,4,562.231,92,938,73.1,M,16,Drawing,0.005037783375314861,0.16363380887926848,0.07793176972281449
562,5,443.375,135,688,100.0,M,16,Drawing,0.008896797153024912,0.3044826614040034,0.14534883720930233
618,1,557.941,410,776,61.3,M,14,Piano,0.0016181229773462784,0.7348447237252684,0.07899484536082474
305,4,493.765,257,1125,70.8,M,13,Drawing,0.013114754098360656,0.5204905167437951,0.06293333333333333
327,2,414.077,199,693,63.4,M,5,Piano,0.0061162079510703364,0.4805869439741884,0.09148629148629149
722,6,642.39,365,870,60.1,M,7,Piano,0.008310249307479225,0.568190662992886,0.06908045977011494
574,2,337.564,408,1036,75.1,M,12,Drawing,0.003484320557491289,1.2086596911992984,0.07249034749034748
1221,4,653.822,426,1096,75.2,F,18,Piano,0.003276003276003276,0.6515534809168244,0.06861313868613139
60,5,332.794,99,1010,67.8,M,9,Drawing,0.08333333333333333,0.2974813247834997,0.06712871287128713
468,2,290.237,425,1083,80.8,M,6,Drawing,0.004273504273504274,1.4643205380430475,0.07460757156048015
821,7,565.071,269,746,94.6,F,5,Quiz,0.008526187576126675,0.4760463729336667,0.12680965147453083
1241,10,358.133,104,438,100.0,F,10,Drawing,0.008058017727639,0.29039490915386185,0.228310502283105
117,5,365.098,60,781,56.0,M,5,Quiz,0.042735042735042736,0.16433943763044442,0.07170294494238157
641,0,278.999,77,776,74.7,M,10,Drawing,0.0,0.2759866522819078,0.09626288659793815
539,6,502.775,432,684,83.9,F,7,Drawing,0.011131725417439703,0.8592312664710855,0.1226608187134503
735,8,568.645,122,1101,69.5,M,6,Quiz,0.010884353741496598,0.2145451028321712,0.0631244323342416
803,6,479.746,447,966,51.1,F,15,Quiz,0.007471980074719801,0.9317430473625627,0.052898550724637686
475,5,397.705,53,806,91.1,F,12,Drawing,0.010526315789473684,0.13326460567506065,0.11302729528535979
1030,5,316.746,105,495,42.8,M,12,Piano,0.0048543689320388345,0.3314958989221648,0.08646464646464645
755,5,435.268,81,613,65.4,F,12,Quiz,0.006622516556291391,0.18609224661587803,0.1066884176182708
692,4,381.006,198,1060,62.7,F,12,Piano,0.005780346820809248,0.5196768554825909,0.05915094339622642
937,3,319.402,151,603,57.7,M,8,Piano,0.0032017075773745998,0.47275846738592747,0.09568822553897181
564,3,397.135,351,312,43.6,M,9,Piano,0.005319148936170213,0.8838304354942275,0.13974358974358975
756,9,304.793,69,1130,59.1,F,12,Quiz,0.011904761904761904,0.2263831518440384,0.05230088495575221
587,8,564.113,326,902,90.5,F,6,Piano,0.013628620102214651,0.5778983997886947,0.10033259423503325
330,9,345.94,50,718,63.3,F,14,Quiz,0.02727272727272727,0.1445337341735561,0.08816155988857938
391,1,386.686,401,502,42.1,F,9,Piano,0.0025575447570332483,1.0370171146615084,0.08386454183266932
735,2,340.818,319,1005,59.7,M,15,Drawing,0.0027210884353741495,0.9359834281053231,0.059402985074626866
352,3,375.217,61,534,98.7,F,9,Drawing,0.008522727272727272,0.16257259132715202,0.18483146067415732
1345,9,541.131,112,393,65.5,M,17,Quiz,0.006691449814126394,0.20697391204717527,0.16666666666666666
557,1,375.028,147,863,59.2,F,10,Drawing,0.0017953321364452424,0.39197073285194706,0.06859791425260718
613,3,368.343,56,508,63.3,M,10,Drawing,0.004893964110929853,0.15203220910944418,0.12460629921259841
546,4,447.977,382,530,67.3,M,9,Piano,0.007326007326007326,0.8527223495849118,0.12698113207547168
1026,9,564.048,320,549,75.0,M,12,Quiz,0.008771929824561403,0.5673276033245398,0.1366120218579235
306,4,309.583,101,605,54.4,M,11,Piano,0.013071895424836602,0.3262453041672185,0.08991735537190082
590,3,344.549,264,1014,55.1,F,18,Piano,0.005084745762711864,0.7662190283530065,0.054339250493096646
687,4,502.882,439,967,100.0,F,8,Piano,0.005822416302765648,0.8729682112304675,0.10341261633919338
335,5,325.228,141,1172,60.9,F,5,Piano,0.014925373134328358,0.4335420074532328,0.05196245733788396
802,8,398.613,450,532,86.0,F,10,Piano,0.00997506234413965,1.1289145110671253,0.16165413533834586
573,5,356.907,266,600,83.4,F,6,Piano,0.008726003490401396,0.745292190962912,0.139
451,2,408.739,295,546,50.8,F,7,Piano,0.004434589800443459,0.7217319609824363,0.09304029304029303
380,5,480.22,104,1006,53.7,M,8,Quiz,0.013157894736842105,0.21656740660530588,0.053379721669980125
531,3,713.508,100,581,84.8,F,8,Drawing,0.005649717514124294,0.14015259814886447,0.1459552495697074
993,6,409.561,228,1038,75.0,M,14,Piano,0.006042296072507553,0.5566936304970445,0.07225433526011561
480,3,434.42,267,479,52.3,M,15,Piano,0.00625,0.6146125868974724,0.1091858037578288
985,2,561.723,158,377,52.9,F,13,Piano,0.0020304568527918783,0.28127742677440665,0.1403183023872679
1144,6,361.695,302,849,58.0,M,18,Piano,0.005244755244755245,0.8349576300474156,0.06831566548881036
913,2,577.521,341,874,65.0,F,15,Piano,0.002190580503833516,0.5904547193954852,0.07437070938215103
394,1,242.895,375,764,42.4,M,15,Piano,0.0025380710659898475,1.5438769838819242,0.05549738219895288
416,1,670.559,54,1006,89.3,F,14,Drawing,0.002403846153846154,0.08052982660735297,0.08876739562624254
1295,7,453.436,65,1168,100.0,F,12,Drawing,0.005405405405405406,0.14334988840762533,0.08561643835616438
625,0,449.962,219,451,54.4,M,15,Piano,0.0,0.48670776643360997,0.12062084257206208
693,2,373.91,51,666,100.0,M,9,Drawing,0.002886002886002886,0.13639645904094566,0.15015015015015015
680,7,297.536,328,526,61.6,M,14,Quiz,0.010294117647058823,1.102387610238761,0.11711026615969582
233,9,372.329,345,736,92.1,M,16,Piano,0.03862660944206009,0.9265998619500495,0.12513586956521738
485,9,745.484,117,601,73.6,F,16,Quiz,0.018556701030927835,0.1569450182700098,0.12246256239600664
1045,3,666.038,305,647,78.3,F,6,Quiz,0.0028708133971291866,0.4579318297154216,0.12102009273570324
969,2,372.468,143,398,73.8,F,11,Piano,0.0020639834881320948,0.3839255989776303,0.18542713567839195
309,3,332.143,434,1038,52.0,F,17,Drawing,0.009708737864077669,1.30666610465974,0.05009633911368015
329,3,414.341,229,1080,49.3,F,14,Quiz,0.00911854103343465,0.5526848658472128,0.045648148148148146
824,5,447.158,411,1149,75.5,M,17,Piano,0.006067961165048544,0.9191382017094628,0.06570931244560488
209,5,511.071,61,1064,65.3,M,7,Quiz,0.023923444976076555,0.11935719303188794,0.061372180451127814
858,5,306.17,60,578,71.8,F,11,Quiz,0.005827505827505828,0.1959695593951073,0.12422145328719723
645,7,508.646,117,983,59.8,F,12,Quiz,0.010852713178294573,0.23002245176409525,0.060834181078331634
439,10,593.416,79,812,79.0,M,11,Quiz,0.022779043280182234,0.13312751931191608,0.09729064039408868
639,5,402.305,101,1026,82.0,F,6,Drawing,0.00782472613458529,0.25105330532804715,0.07992202729044834
661,9,406.161,101,836,48.6,F,6,Quiz,0.01361573373676248,0.24866986244371075,0.05813397129186603
545,5,365.832,143,1138,70.4,F,16,Quiz,0.009174311926605505,0.3908898073432614,0.061862917398945526
519,4,384.147,122,958,47.8,M,8,Quiz,0.007707129094412331,0.3175867571528608,0.049895615866388306
851,2,612.339,290,819,86.7,F,18,Drawing,0.0023501762632197414,0.47359387528803487,0.10586080586080586
183,4,423.617,144,342,42.6,F,12,Quiz,0.02185792349726776,0.33992970064940736,0.12456140350877193
542,7,345.794,365,476,69.9,M,10,Quiz,0.012915129151291513,1.0555417387230548,0.14684873949579832
1006,4,510.943,213,1108,88.3,F,12,Drawing,0.003976143141153081,0.4168762464697628,0.07969314079422382
416,4,304.077,140,386,68.1,F,6,Drawing,0.009615384615384616,0.46040969885917055,0.17642487046632122
1457,10,538.052,132,986,93.8,F,15,Drawing,0.0068634179821551134,0.2453294477113736,0.09513184584178498
824,5,296.509,150,403,55.2,F,5,Quiz,0.006067961165048544,0.5058868364872566,0.1369727047146402
574,5,479.29,407,469,81.4,M,15,Drawing,0.008710801393728223,0.8491727346700327,0.17356076759061834
788,5,541.667,150,780,88.8,M,11,Drawing,0.006345177664974619,0.2769229065089806,0.11384615384615385
1125,8,385.914,75,1120,68.7,M,10,Quiz,0.0071111111111111115,0.1943438175344766,0.061339285714285714
987,9,414.182,431,825,76.1,F,5,Drawing,0.00911854103343465,1.0406053377500712,0.09224242424242424
693,6,470.034,60,683,69.1,F,6,Quiz,0.008658008658008658,0.1276503401881566,0.10117130307467057
580,9,660.639,171,780,89.0,F,6,Piano,0.015517241379310345,0.258840304614169,0.1141025641025641
841,1,379.072,80,608,49.3,M,6,Drawing,0.0011890606420927466,0.21104170184028365,0.08108552631578947
1071,5,499.235,423,547,69.7,M,11,Piano,0.004668534080298786,0.8472963634360572,0.1274223034734918
193,4,410.765,119,819,46.1,F,11,Quiz,0.02072538860103627,0.28970335836792327,0.05628815628815629
593,0,392.008,80,1050,100.0,M,11,Drawing,0.0,0.20407746780677946,0.09523809523809523
549,8,530.241,139,790,81.4,M,17,Quiz,0.014571948998178506,0.2621449491834845,0.10303797468354431
1063,0,443.969,303,856,84.1,M,6,Piano,0.0,0.6824800830688629,0.09824766355140187
230,1,469.991,99,647,75.6,M,17,Quiz,0.004347826086956522,0.2106423314489001,0.1168469860896445
1171,8,480.022,73,858,75.2,F,16,Drawing,0.006831767719897523,0.15207636316668818,0.08764568764568764
728,1,389.315,143,1190,86.9,M,6,Drawing,0.0013736263736263737,0.36731181690918663,0.07302521008403362
782,5,377.117,115,922,68.9,F,9,Piano,0.00639386189258312,0.30494514964851754,0.07472885032537961
444,3,264.766,96,707,43.7,F,5,Quiz,0.006756756756756757,0.3625843197389393,0.061810466760961816
1035,6,648.614,112,504,88.4,F,8,Drawing,0.005797101449275362,0.1726758904371475,0.1753968253968254
459,5,279.049,426,670,48.4,M,12,Piano,0.010893246187363835,1.526613605495809,0.07223880597014926
658,1,699.154,66,926,100.0,M,8,Drawing,0.001519756838905775,0.09439980319071335,0.1079913606911447
596,5,316.969,90,957,63.5,M,9,Drawing,0.008389261744966443,0.2839394388725711,0.06635318704284221
712,7,555.14,116,456,71.8,F,15,Quiz,0.009831460674157303,0.2089562993118853,0.15745614035087718
599,5,482.065,360,610,100.0,M,10,Drawing,0.008347245409015025,0.7467872589795982,0.16393442622950818
324,8,626.004,210,1145,73.0,M,13,Quiz,0.024691358024691357,0.33546111526443917,0.06375545851528384
520,7,392.269,130,858,95.4,M,5,Drawing,0.013461538461538462,0.3314052346731452,0.1111888111888112
538,5,294.243,312,508,48.1,F,12,Piano,0.00929368029739777,1.060348079648454,0.09468503937007874
1132,3,453.318,65,573,98.2,M,10,Drawing,0.00265017667844523,0.14338720280244774,0.17137870855148343
627,4,319.292,80,520,45.0,M,6,Quiz,0.006379585326953748,0.2505543515026997,0.08653846153846154
593,7,295.553,83,1044,49.8,M,5,Quiz,0.011804384485666104,0.2808294958941374,0.04770114942528735
448,0,302.423,330,586,59.3,F,10,Piano,0.0,1.0911868475611974,0.10119453924914676
1074,1,578.302,55,339,89.7,M,7,Drawing,0.000931098696461825,0.09510601727125273,0.2646017699115044
698,3,343.257,128,1057,93.0,F,17,Drawing,0.004297994269340974,0.3728984405270686,0.0879848628192999
280,5,491.366,444,726,73.8,F,13,Piano,0.017857142857142856,0.9036034239243252,0.10165289256198347
913,7,481.257,129,1093,93.0,M,14,Drawing,0.007667031763417305,0.2680480491712328,0.08508691674290943
929,3,638.632,423,1168,100.0,M,18,Drawing,0.0032292787944025836,0.6623532801362914,0.08561643835616438
561,4,449.072,93,859,44.7,M,16,Quiz,0.0071301247771836,0.20709373997933517,0.0520372526193248
974,7,439.727,121,1114,89.4,F,14,Drawing,0.007186858316221766,0.2751707309307821,0.08025134649910234
658,6,359.106,210,594,100.0,F,6,Drawing,0.00911854103343465,0.584785550784448,0.16835016835016836
596,9,478.539,155,900,68.7,M,10,Piano,0.015100671140939598,0.3239025450381265,0.07633333333333334
551,2,549.108,448,305,100.0,M,15,Piano,0.003629764065335753,0.8158686451481312,0.32786885245901637
886,10,346.898,148,391,68.8,M,11,Quiz,0.011286681715575621,0.4266383778517028,0.17595907928388746
973,8,642.128,274,1197,75.8,M,13,Drawing,0.008221993833504625,0.42670620187875313,0.0633249791144528
685,7,601.731,67,1171,87.7,F,14,Drawing,0.010218978102189781,0.11134543508644228,0.0748932536293766
1097,0,475.459,87,881,100.0,F,8,Drawing,0.0,0.1829810772327372,0.11350737797956867
600,8,634.083,111,631,73.3,M,7,Quiz,0.013333333333333334,0.1750559469343919,0.1161648177496038
427,6,379.374,80,363,58.9,M,9,Quiz,0.01405152224824356,0.2108737024677495,0.16225895316804406
794,5,291.477,168,765,51.7,F,9,Piano,0.006297229219143577,0.5763748083039143,0.06758169934640523
846,10,458.035,122,414,57.4,F,11,Quiz,0.01182033096926714,0.26635519119717926,0.13864734299516907
901,3,443.183,214,764,71.1,M,14,Drawing,0.003329633740288568,0.48287050721710895,0.09306282722513089
591,5,529.677,119,361,100.0,F,12,Drawing,0.008460236886632826,0.2246652205023061,0.2770083102493075
493,4,403.3,432,686,41.4,M,12,Quiz,0.008113590263691683,1.0711629060252914,0.06034985422740525
782,4,503.231,79,553,98.7,M,15,Drawing,0.005115089514066497,0.15698555931570193,0.17848101265822786
747,10,388.805,107,912,72.0,M,9,Drawing,0.013386880856760375,0.2752022221936446,0.07894736842105263
335,7,594.425,90,891,88.1,M,8,Quiz,0.020895522388059702,0.15140682171846745,0.09887766554433221
408,2,496.841,72,941,69.2,F,8,Quiz,0.004901960784313725,0.1449155766130412,0.07353878852284804
844,7,675.472,110,546,100.0,F,5,Drawing,0.008293838862559242,0.16284908922945734,0.18315018315018314
819,10,405.962,132,380,100.0,F,18,Drawing,0.01221001221001221,0.3251535858035974,0.2631578947368421
1038,2,372.911,76,1190,98.8,F,6,Drawing,0.0019267822736030828,0.20380197956080673,0.08302521008403362
935,0,475.022,409,706,68.9,F,5,Piano,0.0,0.861012753093541,0.09759206798866857
497,3,491.321,338,1039,51.7,F,17,Piano,0.006036217303822937,0.6879412848219392,0.04975938402309914
516,2,348.89,399,727,51.6,F,8,Piano,0.003875968992248062,1.1436269311244232,0.07097661623108666
760,6,374.244,142,957,66.9,M,10,Quiz,0.007894736842105263,0.37943160077382665,0.06990595611285268
825,3,645.972,428,836,74.8,F,7,Piano,0.0036363636363636364,0.6625674177828141,0.08947368421052632
828,9,497.312,295,361,68.7,M,18,Quiz,0.010869565217391304,0.593188983977865,0.19030470914127426
374,10,416.015,295,715,58.7,F,15,Quiz,0.026737967914438502,0.7091090465488024,0.0820979020979021
973,8,441.048,147,686,51.0,M,16,Piano,0.008221993833504625,0.33329705610273713,0.07434402332361516
401,0,331.493,148,343,49.1,M,15,Piano,0.0,0.4464649328945106,0.14314868804664724
619,6,374.024,303,606,49.7,F,9,Piano,0.009693053311793215,0.8101084422390007,0.08201320132013201
485,0,716.324,142,380,99.1,M,14,Drawing,0.0,0.19823431854858975,0.2607894736842105
619,1,363.134,267,579,49.8,F,5,Piano,0.0016155088852988692,0.7352657696607864,0.08601036269430051
313,3,444.929,87,1117,61.6,F,12,Drawing,0.009584664536741214,0.19553681598637088,0.05514771709937332
349,4,501.74,106,668,56.1,M,6,Quiz,0.011461318051575931,0.21126479850121577,0.08398203592814371
531,2,350.808,126,912,69.6,M,7,Drawing,0.003766478342749529,0.3591708284873777,0.0763157894736842
412,2,298.983,254,449,44.9,F,5,Piano,0.0048543689320388345,0.8495466297414903,0.09999999999999999
463,6,341.686,63,438,53.4,F,9,Quiz,0.012958963282937365,0.18437981070339435,0.12191780821917808
679,4,576.358,276,628,74.8,F,10,Quiz,0.005891016200294551,0.47886903625871424,0.11910828025477707
526,4,484.192,100,673,46.4,M,12,Quiz,0.0076045627376425855,0.20652964113409555,0.0689450222882615
1220,0,713.298,217,1138,100.0,M,14,Drawing,0.0,0.30422067635125855,0.08787346221441125
938,4,536.499,137,912,59.6,F,15,Piano,0.0042643923240938165,0.2553592830555136,0.06535087719298245
139,7,326.786,148,554,63.4,F,13,Quiz,0.050359712230215826,0.4528957788889365,0.11444043321299639
626,8,495.827,124,1004,66.9,F,7,Quiz,0.012779552715654952,0.25008722800492916,0.06663346613545817
561,8,397.045,60,418,62.3,F,10,Quiz,0.0142602495543672,0.15111637219962473,0.14904306220095692
608,3,451.577,90,368,67.0,M,10,Drawing,0.004934210526315789,0.19930155875963568,0.18206521739130435
685,7,565.995,109,537,100.0,M,5,Drawing,0.010218978102189781,0.192581206547761,0.186219739292365
825,3,517.922,299,519,58.7,M,7,Piano,0.0036363636363636364,0.5773070076189079,0.11310211946050097
428,4,425.269,117,954,57.8,M,14,Drawing,0.009345794392523364,0.2751199828814233,0.060587002096436054
544,4,538.493,125,386,73.4,F,14,Quiz,0.007352941176470588,0.23212929415981265,0.1901554404145078
378,0,403.805,394,490,50.4,F,6,Piano,0.0,0.9757184779782321,0.10285714285714286
726,4,356.359,249,1134,58.2,M,13,Quiz,0.005509641873278237,0.6987335804623989,0.051322751322751325
661,5,430.583,85,530,84.1,F,11,Quiz,0.007564296520423601,0.19740677174900076,0.15867924528301885
705,9,518.897,96,855,91.4,M,17,Drawing,0.01276595744680851,0.18500781465300434,0.10690058479532165
391,6,488.444,160,542,78.3,M,17,Piano,0.015345268542199489,0.32757081671593874,0.14446494464944648
568,5,357.995,94,845,84.3,F,18,Drawing,0.008802816901408451,0.2625734996298831,0.09976331360946745
1415,1,701.059,234,1068,100.0,M,10,Drawing,0.0007067137809187279,0.3337807516913698,0.09363295880149813
1574,0,613.617,350,947,67.6,M,9,Piano,0.0,0.5703883692922459,0.07138331573389652
302,10,398.891,112,635,74.4,F,11,Quiz,0.033112582781456956,0.280778458275569,0.11716535433070867
1053,10,595.695,66,879,86.0,M,16,Quiz,0.00949667616334283,0.11079495379346813,0.09783845278725825
734,0,577.927,432,705,72.3,F,15,Piano,0.0,0.7474992516355872,0.10255319148936169
335,7,595.989,104,1010,57.6,M,11,Quiz,0.020895522388059702,0.174499864930393,0.05702970297029703
60,4,317.205,168,993,49.1,M,8,Piano,0.06666666666666667,0.529625951671632,0.04944612286002014
833,3,461.634,326,388,90.4,M,14,Piano,0.003601440576230492,0.7061871525927466,0.2329896907216495
429,4,381.829,81,866,66.6,M,17,Drawing,0.009324009324009324,0.21213684659887017,0.07690531177829099
956,8,528.072,430,1112,87.4,F,17,Piano,0.008368200836820083,0.8142829008165553,0.07859712230215828
954,3,445.371,233,696,73.0,F,11,Drawing,0.0031446540880503146,0.5231593435585165,0.10488505747126436
647,5,600.864,100,818,72.7,F,10,Quiz,0.0077279752704791345,0.16642701176971827,0.08887530562347189
734,4,404.666,69,849,63.4,F,11,Quiz,0.005449591280653951,0.17051098930970232,0.07467608951707891
625,10,584.794,144,479,58.6,M,9,Quiz,0.016,0.2462405565036577,0.12233820459290189
447,4,371.028,84,1050,47.9,M,16,Quiz,0.008948545861297539,0.22639800769753224,0.045619047619047615
1083,3,517.002,96,356,97.7,M,10,Drawing,0.002770083102493075,0.1856859354509267,0.274438202247191
282,6,467.18,209,866,52.5,M,10,Quiz,0.02127659574468085,0.44736504131169996,0.06062355658198614
530,2,367.809,357,353,47.9,F,8,Piano,0.0037735849056603774,0.9706124646215835,0.13569405099150142
681,2,345.418,104,598,45.4,M,11,Piano,0.002936857562408223,0.30108448314795405,0.07591973244147157
738,3,385.033,379,551,73.0,F,16,Piano,0.0040650406504065045,0.9843312131687414,0.132486388384755
1048,0,385.421,80,729,69.0,F,5,Drawing,0.0,0.20756523386115444,0.09465020576131687
799,10,370.412,234,952,74.8,M,7,Quiz,0.012515644555694618,0.6317289936611126,0.07857142857142857
497,0,530.98,144,634,74.3,M,14,Quiz,0.0,0.271196655241252,0.11719242902208202
472,1,314.276,118,666,51.6,F,8,Quiz,0.00211864406779661,0.37546615077193296,0.07747747747747748
205,2,450.513,210,520,83.4,M,12,Drawing,0.00975609756097561,0.4661352724560668,0.1603846153846154
541,1,285.325,189,714,50.6,F,7,Piano,0.0018484288354898336,0.6624025234381845,0.07086834733893557
900,5,477.951,430,900,53.9,M,6,Piano,0.005555555555555556,0.8996738159351063,0.05988888888888889
930,5,437.212,441,772,85.7,M,5,Quiz,0.005376344086021506,1.0086639890945355,0.11101036269430052
739,4,649.582,240,452,57.5,F,18,Piano,0.005412719891745603,0.369468365810629,0.12721238938053098
384,2,299.228,202,1116,53.1,M,15,Piano,0.005208333333333333,0.6750705147913965,0.047580645161290326
730,2,486.968,73,326,89.0,M,11,Drawing,0.0027397260273972603,0.14990718075931067,0.27300613496932513
1110,6,685.015,245,542,100.0,M,5,Drawing,0.005405405405405406,0.35765640168463464,0.18450184501845018
732,3,320.559,61,357,52.4,F,14,Drawing,0.004098360655737705,0.19029258264469254,0.14677871148459384
932,2,483.536,68,1092,70.0,M,5,Drawing,0.002145922746781116,0.1406306872704411,0.0641025641025641
373,8,540.268,131,798,58.2,F,6,Quiz,0.021447721179624665,0.2424722545107243,0.07293233082706767
956,7,649.014,66,481,100.0,M,16,Drawing,0.007322175732217573,0.10169272157457312,0.2079002079002079
1483,10,443.677,139,627,69.2,F,18,Piano,0.006743088334457181,0.31329097519141175,0.11036682615629985
647,10,424.265,63,1037,56.3,M,18,Quiz,0.015455950540958269,0.14849209809906544,0.054291224686595946
822,4,505.786,395,1003,62.1,F,12,Piano,0.004866180048661801,0.7809626996397686,0.061914257228315055
111,3,410.792,138,395,66.9,F,6,Piano,0.02702702702702703,0.33593643498412823,0.16936708860759495
348,4,256.535,383,1047,54.5,F,16,Piano,0.011494252873563218,1.492973668310367,0.05205348615090735
734,0,360.84,87,1143,74.3,F,9,Drawing,0.0,0.2411040904556036,0.06500437445319335
825,0,405.984,110,800,73.0,F,8,Drawing,0.0,0.2709466382911642,0.09125
596,6,411.282,84,877,55.6,F,6,Quiz,0.010067114093959731,0.20423942696252206,0.06339794754846066
785,9,502.856,118,1003,74.1,M,6,Quiz,0.011464968152866241,0.2346596242264187,0.07387836490528414
871,4,618.503,358,450,85.1,F,14,Drawing,0.004592422502870264,0.5788169176220649,0.1891111111111111
415,2,502.602,134,869,73.6,F,7,Piano,0.004819277108433735,0.26661254829865383,0.08469505178365937
745,5,367.354,68,880,53.5,F,18,Quiz,0.006711409395973154,0.18510755293259365,0.06079545454545455
750,1,430.518,112,885,89.6,M,6,Drawing,0.0013333333333333333,0.26015172420200783,0.10124293785310734
680,0,345.622,260,350,78.8,M,7,Drawing,0.0,0.7522669274525349,0.22514285714285714
366,4,234.625,79,437,53.8,F,10,Drawing,0.01092896174863388,0.33670751198721366,0.12311212814645309
928,2,434.463,308,1077,90.1,F,17,Piano,0.0021551724137931034,0.7089211279211348,0.08365831012070565
699,4,258.36,75,1157,49.2,F,18,Drawing,0.005722460658082976,0.2902926149558755,0.042523768366465
434,2,421.347,137,331,53.7,M,12,Drawing,0.004608294930875576,0.3251476811274318,0.16223564954682781
709,8,365.387,412,1005,66.0,F,14,Drawing,0.011283497884344146,1.1275715884801594,0.06567164179104477
402,1,331.314,149,1085,64.9,M,11,Drawing,0.0024875621890547263,0.44972443060057826,0.05981566820276498
178,7,536.399,104,685,89.3,F,7,Quiz,0.03932584269662921,0.19388552178508908,0.13036496350364962
583,4,490.201,97,874,64.8,F,9,Quiz,0.00686106346483705,0.19787801330474641,0.07414187643020595
619,4,551.81,133,605,79.5,F,9,Drawing,0.006462035541195477,0.24102499048585566,0.13140495867768595
1083,9,611.017,435,602,65.3,M,5,Piano,0.008310249307479225,0.7119278187022618,0.10847176079734219
653,6,533.617,135,667,70.1,F,11,Quiz,0.009188361408882083,0.25299044070934773,0.1050974512743628
713,4,511.94,433,487,100.0,M,18,Drawing,0.005610098176718092,0.8458022424502871,0.2053388090349076
216,3,292.551,65,781,38.5,F,15,Quiz,0.013888888888888888,0.2221834825380874,0.04929577464788732
668,8,420.935,75,650,90.3,M,12,Quiz,0.011976047904191617,0.178174777578486,0.13892307692307693
610,8,314.152,424,762,49.4,F,7,Piano,0.013114754098360656,1.349665130255418,0.06482939632545931
280,4,487.829,111,692,75.5,M,14,Drawing,0.014285714285714285,0.22753874820890108,0.10910404624277456
809,0,450.85,81,531,82.5,M,16,Drawing,0.0,0.17966064101142287,0.1553672316384181
449,1,402.943,405,744,52.7,F,9,Piano,0.0022271714922048997,1.0051049404009997,0.07083333333333333
911,4,666.144,119,955,71.5,M,10,Piano,0.0043907793633369925,0.1786400538021809,0.07486910994764398
833,8,573.603,69,510,100.0,M,14,Drawing,0.009603841536614645,0.12029225788568053,0.19607843137254902
834,0,542.544,115,1036,82.5,M,9,Drawing,0.0,0.2119643752396119,0.07963320463320463
